,name,time,tweet,Source,Likes,RTs,Localization
137,elaineschi,2022-11-11 00:38:02+00:00,"@ciro_nogueira vcs vao matar os brasileiros do coracao! o povo ta nas ruas, nao aceitamos esse resultado!",Twitter Web App,0,0,"Rio de Janeiro, Brasil"
138,Victor Pinheiro 🇧🇷🇩🇪,2022-11-11 00:38:02+00:00,@ciro_nogueira Kkkkkk lá vem ele o homem do TIC TAC não cansa de passar vergonha amigão?,Twitter for iPhone,0,0,"Hamburg, Deutschland"
139,Sol,2022-11-11 00:38:01+00:00,@ciro_nogueira REALMENTE VC AGORA FAZER O L,Twitter for Android,0,0,Es- Brasil 
140,Eder Silva 🇧🇷,2022-11-11 00:37:55+00:00,"@ciro_nogueira TIC tac, Ciro, o cara que enganou os bolsonaristas dando esperança de vitória. Essa galera que está… https://t.co/dw921Ra56F",Twitter for Android,0,0,Guarulhos - SP
141,J.Coelho🇧🇷🇧🇷🇧🇷🇮🇱🇮🇱,2022-11-11 00:37:53+00:00,"@ciro_nogueira Inacreditável 
Bolsa DERRETEU
Dólar disparou
Juro explodiu
Inacreditável
Lula vai quebrar o Brasil a… https://t.co/nLwWpRInGK",Twitter for Android,0,0,"São Paulo, Brasil"
142,JAIRO JUNIOR SOLDADO DE DEUS,2022-11-11 00:37:51+00:00,@ciro_nogueira Falo o pé frio …mãe Diná    !,Twitter for iPhone,0,0,"Ribeirão Preto, Brasil"
143,Artou Sosvic,2022-11-11 00:37:46+00:00,@isaumcosta Ciro avisou.,Twitter for Android,0,0,Salvador-BA/Costa Marques-RO
144,Thé 🌷,2022-11-11 00:37:44+00:00,Ciro Gomes vai se candidatar em 2026?,Twitter for Android,4,0,"Goiânia, Goiás "
145,Assessoria & Jurídico - Conta Reserva,2022-11-11 00:37:42+00:00,"@ciro_nogueira Já era para os vermelhos, assinaram a “lei Áurea”.🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",Twitter for iPhone,0,0,
146,marcelo dargains,2022-11-11 00:37:39+00:00,@ciro_nogueira Vai a merda com o seu “simplesmente inacreditável” 🖕🏼,Twitter for iPhone,0,0,EUA
147,Thiago Nascimento 🌐,2022-11-11 00:37:38+00:00,@ciro_nogueira @renatomsilva28 Acerca de qual assunto ?,Twitter for Android,0,0,"Piracicaba, Brasil"
148,rogerio machado,2022-11-11 00:37:31+00:00,"@jairbolsonaro PO BOLSO. Com todo respeito pelo senhor. 
+ nao ficou legal não. to lembrando do CIRO quando falou a… https://t.co/nbLcXENKOZ",Twitter Web App,0,0,
149,Borges 🇧🇷BRASIL🇧🇷,2022-11-11 00:37:30+00:00,"@ciro_nogueira Nenhum tic TAC dele foi verdadeiro , tudo muxiba",Twitter for Android,0,0,BRASILIA DF
150,amorim@oficial,2022-11-11 00:37:15+00:00,@ciro_nogueira O que   ?,Twitter for Android,0,0,
151,chama 🔥,2022-11-11 00:37:14+00:00,"@AnaluSilvano @ciro_nogueira Sim inacreditável aliados do PCC assumindo a direção de uma nação, escárnio.",Twitter for Android,1,0,
152,Nunes Barcelos,2022-11-11 00:37:13+00:00,@VivianoRodrigo @ciro_nogueira Não ganhou a boquinha que esperava?,Twitter for Android,0,0,
153,Fernando Fonseca,2022-11-11 00:37:04+00:00,@ciro_nogueira Eu já vi os 2 vídeos..... Não acredito que fizeram isso..... Meio mundo vai implodir,Twitter for Android,0,0,
154,PÁTRIA AMADA BRASIL,2022-11-11 00:36:54+00:00,"@AntonioCEvan @ciro_nogueira verifica se é verdade antes de postar, pfv!!!",Twitter Web App,0,0,
155,Well,2022-11-11 00:36:54+00:00,"@Aukschumen @almeidd12 @memescomuna O Ciro não vai te comer não mano, descansa aí e aproveita que tá na hora da novela.",Twitter for Android,0,0,"Rio de Janeiro, Brasil"
156,Luiz G. Cordeiro,2022-11-11 00:36:54+00:00,"@ciro_nogueira Inacreditável é você postando TIC TAC uma semana sem parar, e agora ver a vaca indo pro brejo. Seu irresponsável.",Twitter for iPhone,0,0,Curitiba
157,Rodrigo Ferraresso Piccolomini,2022-11-11 00:36:52+00:00,@AntonioCEvan @ciro_nogueira Não acredito em absolutamente nada que esse maldito fala,Twitter for iPhone,0,0,
158,Grasi Slomp 🇧🇷🇮🇹,2022-11-11 00:36:46+00:00,@ciro_nogueira Eis aí uma pessoa que acha que sabe e acha que engana alguém,Twitter for iPhone,0,0,
159,lolatrivella,2022-11-11 00:36:45+00:00,@todinhorexBR @ciro_nogueira Vão chorar até qd?,Twitter for iPad,0,0,
160,Cristina,2022-11-11 00:36:34+00:00,"@holimargodoy @ciro_nogueira Vcs não ,cara pálida, mas as caixinhas MÁGICAS!!!",Twitter for Android,1,0,"Goiânia, Brasil"
161,Eu,2022-11-11 00:36:34+00:00,"@Luiznics @ciro_nogueira Bjjj, aguarda seu kit gay e a mamadeira de piroca!! Pobre de direita!",Twitter for iPhone,0,0,
