,name,time,tweet,Source,Likes,RTs,Localization
68,Ibanes Mariano,2022-11-09 01:39:16+00:00,@antoniotabet @wzniak Ohhh Tabet é o General Oscar Aglio?,Twitter Web App,0,0,São Leopoldo
69,Davi 🇧🇷,2022-11-09 01:38:27+00:00,@MetodoMoreira @rafaelgloves Zelenski seria o equivalente a um Danilo Gentili ou Antonio Tabet aqui?,Twitter for iPhone,11,0,
70,Celso Freitas,2022-11-09 00:57:38+00:00,"@antoniotabet @wzniak Faltou esse aqui meu caro, Tabet! https://t.co/aPSlqqktNC",Twitter for Android,1,0,"Campinas, Brasil"
71,ASTR4.exe ! #0 Dara e Xande Stan /#SDOL,2022-11-09 00:50:37+00:00,"Eu falei que
voltariamos a desenhar com
o tabet !

( esse é um teste de desenho!)

/ Michael https://t.co/6Cf6bK60TB",Twitter for Android,5,0,VOCE TATUOU RISCO NA SUA MÃO?!
72,daya 📖,2022-11-08 23:44:36+00:00,"que mane simone tabet em 2026, essa daí é escroto igual o bozo, vão pesquisar",Twitter for iPhone,0,0,she/her
73,Maximus 📿☯️,2022-11-08 23:31:46+00:00,"Quem não sabia que a Simone Tabet ia papar uma vaguinha é maluco, tótó da cabeça",Twitter for Android,0,0,
74,Mosca na Sopa,2022-11-08 23:05:50+00:00,"@ocasocollini @elinerabeloo @CentralEleicoes Muita gente cirista, Tabet e do Psol que tem uma rede de perfis profis… https://t.co/9TMQf0ffqi",Twitter for Android,2,0,
75,pitico 🤏,2022-11-08 23:05:19+00:00,@hugorigri Ce vai acordar com meirelles na fazenda e tabet na agricultura,Twitter for Android,1,0,
76,Eduardo Nocera,2022-11-08 23:02:21+00:00,@antoniotabet Faz por nacionalidade Tabet. Vc já fez o árabe Jalim Habey.,Twitter for Android,0,0,"São Paulo, Brasil"
77,Maria Dusolina,2022-11-08 22:57:07+00:00,"@antoniotabet Tabet, gosto bastante de seus comentários, mas esse seu post me decepcionou profundamente: isso é ETA… https://t.co/nNoOYpe0PR",Twitter Web App,0,0,
78,Ina,2022-11-08 22:42:03+00:00,@choquei Que a Tabet entenda a importância da preservação pq ao que tudo indica ela deve assumir alguma pasta ou mi… https://t.co/Chu7ROzU6K,Twitter for Android,0,0,
79,Jorge Luís De Vasconcelos,2022-11-08 22:41:47+00:00,@Vadell_Javier @vanessasoaresc4 @monark Hahaha é ladrao e há um monte de delações aí que provam o que digo e se é a… https://t.co/mBw2Aw3Bpn,Twitter for iPhone,0,0,"Capitão, Brasil"
80,PATRIA AMADA,2022-11-08 22:38:55+00:00,"@simonetebetbr @LulaOficial @geraldoalckmin FALA TABET!!!

VERGONHA. Essa é a palavra do dia!!!

🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷… https://t.co/3773sBqGzR",Twitter for iPhone,1,0,
81,Maíra Maximiano☭8️⃣0️⃣,2022-11-08 21:54:24+00:00,@aires_abilio @portalypis Os do Tabet chamam Peçanha,Twitter for Android,0,0,Rio de Janeiro
82,maysa,2022-11-08 21:54:02+00:00,"Isso aqui é a prova definitiva que estamos vivendo um especial do Porta dos Fundos escrito por Fábio Porchat, Gregó… https://t.co/nayYMLMABA",Twitter for Android,10,2,"Mato Grosso DO SUL, Brasil"
83,Turquim,2022-11-08 21:39:26+00:00,"Simone Tabet, lacra: “Contem comigo para trabalhar pela reconstrução do Brasil. Vamos tratar da fome, da geração de… https://t.co/F2Qd0QKSFk",Twitter Web App,16,3,Oiapoque ao Chuí
84,Doni,2022-11-08 21:34:31+00:00,"@antoniotabet Isso preocupa, Tabet? Um negócio que parecia pequeno crescendo assim, ganhando enverga dura?",Twitter for Android,1,0,
85,marcilio almeida,2022-11-08 21:13:18+00:00,"@LuizPersechini @portadosfundos Hahahahahahahahahahahahahahahahahahahahahahahaha

Tabet, e pessoal do Porta, procur… https://t.co/ZNKvLm914M",Twitter for Android,0,0,
86,Durango Kid 🐍🇾🇪,2022-11-08 21:08:29+00:00,@kingbaldwins @naaandu_ @wl_consultor @simonetebetbr @LulaOficial @geraldoalckmin Tá no seu direito de interpretar… https://t.co/a6HtORb7YK,Twitter for iPhone,0,0,
87,Translúcida🪞,2022-11-08 20:52:26+00:00,"@simonetebetbr @LulaOficial @geraldoalckmin Tabet, só falta sair da direita pra ser perfeita.",Twitter for iPhone,0,0,São Paulo
88,"Grandpa, dad, friend, and pissed-off AB+",2022-11-08 20:40:21+00:00,"Tabet tá no grupo c/ 3 grandes especialistas na área de Desenvolvimento Social.
Ou seja, training in job p/ a Minis… https://t.co/hiN43DgMhT",Twitter Web App,0,0,"-23.550229,-46.568647"
89,Nēs⁷ 🍜,2022-11-08 20:29:52+00:00,Eu definitivamente não tenho maturidade. A quinta série que habita em mim saúda a quinta série que habita no Tabet. https://t.co/Upcop2ooXV,Twitter for Android,1,0,
90,lauria,2022-11-08 20:28:32+00:00,Atendi o Antonio Tabet e só me toquei que era ele na hora de pegar o nome pro cadastro kkkkkkk aí depois tendo que… https://t.co/Ydqqs92Vt0,Twitter for iPhone,1,0,
