,name,time,tweet,Localization;;
"81,1586189252630659074,,""O debate poderia ter sido melhor, mas vocês votaram no Lula e no Bolsonaro, não no Ciro. Essa culpa eu não carrego."",";;
"82,1586188437371387904,,""Cresci ouvindo que o Lula era imbatível no um contra um. Que mentira. Até o Bolsonaro o consegue vencer. Criaram uma farsa. Porra, Brasil. Que merda. Volta, Ciro."",";;
"83,1586188048416620544,,""Irei listar onde as oratória dos candidatos se destacam:";;
;;
Lula = Sabatina, Debate e PoadCast;;
Ciro e Tebet = Debate;;
Bolsonaro = Mentir;",
84,1586187889963986945,,Dá não, quem tá estudando e foi atrás das coisas sabe o tanto que o lula tá mentindo. Bolsonaro tinha que ter assistido o podcast do Ciro, o Ciro falou de todas as mentiras que o lula tá contando"",";
"85,1586187619276292096,,""Votei no Ciro no Primeiro turno, mas depois desse debate vou de Lula, Bolsonaro mente demais! #DebateNaGlobo #LulaPresidente1⃣3⃣"",";;
"86,1586187093910638592,,""Lula tá desde o começo falando sobre o nível do debate e pedindo desculpas. Quem vê até pensa que o debate é entre Bolsonaro e Ciro Gomes.";;
;;
"Cara passou o debate inteiro falando sobre picanha e cerveja, sem projeto só populismo"",";;
"87,1586186788435292160,,""Que falta faz um Ciro Gomes nesse #DebateNaGlobo";;
;;
Meu Deus! Os 2 candidatos horríveis. Rsrs;;
;;
Lula e Bolsonaro têm muito pouco a propor.;;
;;
"PS.: Voto em Lula... De nariz tapado. Rs"",";;
"88,1586186449916809216,,""Lula pro Bolsonaro “você quer agradar a sua bancada aí na sua frente”, e aponta pro Sérgio Moro e pro Ciro Nogueira nos bastidores do debate."",";;
"89,1586186280504893441,,""Audiência do #DebateNaGlobo continua alta. Na casa de 27 pontos. Pra terem noção, #Travessia vem marcando cerca de 19. ";;
;;
"Bolsonaro está parecendo um louco, um fanático. Segue sem ganhar indecisos ou os eleitores de Ciro e Tebet. Lula continua firme e propositivo."",";;
"90,1586186191749017600,,""6 parentes próximos que votaram no ciro no primeiro turno iam votar lula domingo mas hoje já decidiram que vão de bolsonaro, esse debate de hoje só serviu pra beneficiar mesmo o bozo"",";;
"91,1586184964240179200,,""Tem uns analistas fingidos dizendo """"o debate tá ruim"""", """"é só troca de acusações"""". É gente que tá querendo relativizar. Nos debates do 1 turno, os momentos de discussão de ideias só aconteceram com Lula, Tebet, Ciro. Bozo e Kelson rebaixaram o debate. Bolsonaro é um câncer."",";;
"92,1586183883824865280,,""bolsonaro já não tem mais o que falar";;
;;
"ta beirando largar um PELO AMOR DE DEUS NÃO VOTEM NO LULA tal qual fez o ciro gomes no primeiro turno"",";;
93,1586183708779741184,,esse bolsonaro e esse lula nao valem é nada. joguem uma bomba nesse debate e entreguem a faixa de presidente pro ciro gomes https://t.co/8IHy2sdYPP,;;
