,name,time,tweet,Source,Likes,RTs,Localization
1300,Isabela 🌻🦋,2022-11-10 23:59:49+00:00,@fabiowoficial @jairbolsonaro A jornalista no jornalnacional nem colocou o video do lula falando... so se fosse o bolsonaro...,Twitter for Android,0,0,
1301,Flávia Maynarte 🔺 ☭,2022-11-10 23:59:49+00:00,"""AIN, O MERCADO TÁ NERVOSO"". 

Discurso do Lula: ""O povo precisa comer.""

Os playboyzinhos-farialimers estão desesp… https://t.co/qAMLPJFhdw",Twitter for Android,24,2,Minas Gerais - Brasil
1302,lemos,2022-11-10 23:59:48+00:00,"@choquei Grave não, gravíssimo. Tudo culpa do STF. Vamos auditar os ventos. Isso é obra do Lula ladrãozinho kkk",Twitter for iPhone,0,0,
1303,BRASIL_LIVRE,2022-11-10 23:59:47+00:00,"@gleisi Não, o dólar fechou em forte alta nesta quinta-feira (10), com os investidores reagindo às incertezas em re… https://t.co/Y3JKpgOXNu",Twitter for Android,0,0,
1304,VALÉRIO SOBRAL,2022-11-10 23:59:47+00:00,LULA COMEÇA ESCALAR TIME PARA VIRAR O JOGO NO CAMPO MINADO POR BOLSONARO https://t.co/Q2gbmVyN5d,Twitter Web App,0,0,são paulo
1305,urban,2022-11-10 23:59:46+00:00,@CarolinsAraujo Kkkkkkkk o governo lula a todo vapor,Twitter for iPhone,0,0,Caruaru
1306,Mulher Imprensa,2022-11-10 23:59:45+00:00,"Mercado, Defesa, o Brasil tem um aval dos dois mandatos de Lula, 80% de aprovação, 6a economia do mundo, reserva ca… https://t.co/vHh7LS2vKi",Twitter for Android,0,0,Brasil
1307,Geovane soares🇧🇷🇧🇷🇮🇱🇮🇱🌻,2022-11-10 23:59:45+00:00,"@pretaferreira @LulaOficial Lula é um ladrão condenado,  nada mas",Twitter for Android,0,0,
1308,José Bicalho,2022-11-10 23:59:45+00:00,@AndreHenning o gado para de postar fake News não cola mais.arruma outra vc pisa para vcs passarem vergonha.e deixe… https://t.co/b9kOQVxoin,Twitter for Android,0,0,
1309,Vale Homossexual,2022-11-10 23:59:44+00:00,@h79502530 Bom dia última vez mirou no Lula acertou a Gal costaz hoje mirou no FHC será que vai acertar quem?,Twitter for Android,0,0,
1310,maria,2022-11-10 23:59:44+00:00,"PQP SÓ APARECE TWITE DO LULA P EU, VAI TI FUDE😭😭😭😭😭😭",Twitter for Android,0,0,sp
1311,Faz o L que passa,2022-11-10 23:59:43+00:00,"@mohatesu @LulaOficial 2002: Boom das commodities 

Não vai rolar esse ano, o mundo tá queimando.

Lula vem com san… https://t.co/9cTlARBwbS",Twitter Web App,0,0,
1312,censura de merda,2022-11-10 23:59:43+00:00,"@PabloSpyer Lula é ladrão, mentiroso, incompetente, vai destruir o Brasil antes de tomar posse.
A esquerda é isso,… https://t.co/4JdCuMR2nl",Twitter for Android,2,0,DITADURA JUDICIÁRIA DE MERDA 
1313,brilha uma ⭐,2022-11-10 23:59:43+00:00,"@printsminions oxe, mas eu nunca dormi tão bem na minha vida como esses dias pós Presidente Lula eleito! inclusive… https://t.co/bhPrqCZlLI",Twitter for Android,1,0,"Bahia, Brasil"
1314,Maurício Brum,2022-11-10 23:59:42+00:00,"Olha pra quem tava morto até ontem, estar só com olheiras já é um avanço enorme de saúde do Lula nas fake news bols… https://t.co/lgaKBKtB8s",Twitter for Android,5,0,Porto Alegre
1315,Danilo Teixeira,2022-11-10 23:59:42+00:00,"@SigaGazetaBR Meirelles é rico. Apoia o Lula sem medo. Se der merda, ele foge anyway. Sobra para os mortais.",Twitter for iPhone,0,0,
1316,Alex,2022-11-10 23:59:41+00:00,@fernandoconrado Ahh você acha mesmo que as forças armadas estão preocupadas com as fala o Lula? O Brasil é uma ver… https://t.co/0zzih9rxKp,Twitter for iPhone,0,0,"Sorocaba, Brasil"
1317,Thaís 🇧🇷 +🦑= 🇻🇪,2022-11-10 23:59:39+00:00,@tiagokroetz @eixopolitico “Lula dilmou.” Boa noite.,Twitter for Android,0,0,"Rio de Janeiro, Brazil."
1318,Yagoo Barcellos,2022-11-10 23:59:39+00:00,Dois ladrão que rasgaram a constituição Brasileira.  O cabeça de ovo e o Nine.  O @GugaNoblat você gosta de passar… https://t.co/08hddhAHus,Twitter for Android,0,0,
1319,Kaio Felipe,2022-11-10 23:59:38+00:00,"@fredlwm @Belzebu____666 @Lulaopresida @taoquei1 Eu desejo, eu desejo morte aos ladrão pq lula não?",Twitter for Android,0,0,
1320,Lula Livre!,2022-11-10 23:59:37+00:00,Lula tem Razão! https://t.co/jrAXqeyMwq,Twitter for iPhone,0,0,
1321,Paula Morgana,2022-11-10 23:59:36+00:00,@VitorCasao @NaielyPazian @Rconstantino E quem disse q concordo c/esse vídeo? Não sou gado bolsonarista. Só q não a… https://t.co/z8PWdQZ3jz,Twitter Web App,0,0,"Sao Paulo, Brazil"
1322,Junior Pereira ⓟ ⚡🇧🇷🇮🇹🐷#B22😎👉🏽,2022-11-10 23:59:36+00:00,@markssa1994 @oandrerocha @joselito633 @ZattarRafael Deve ser primo do Bonner... o Lula vai assumir e ficar 4 anos… https://t.co/38opUIHod2,Twitter Web App,0,0,
1323,café sem açúcar,2022-11-10 23:59:35+00:00,"tem um bosonarista, que é conhecido meu, trabalhei com ele por um tempo, direto ele tem me mandado notícias sobre a… https://t.co/6vDlRVIQXf",Twitter Web App,0,0,Porto Alegre
1324,Fabiana C Bertolotto,2022-11-10 23:59:35+00:00,"@77_frota E vc, foi convocado pela equipe do Lula? 🤡",Twitter for Android,0,0,Joinville/SC
1325,William Murilha,2022-11-10 23:59:34+00:00,@ciro_nogueira Eu sei que no governo lula vc vai encher o rabo de dinheiro mas a vida é passageira e num futuro pró… https://t.co/8DGiX5wKek,Twitter for Android,0,0,.
1326,Henriy123🤝,2022-11-10 23:59:34+00:00,@choquei @Eltonsmatos A vontade de Deus foi feita: LULA PRESIDENTE. Voltem pra suas casas!,Twitter for iPhone,4,0,"Rio de Janeiro, Brasil "
1327,Elcio Motta,2022-11-10 23:59:34+00:00,"@joicehasselmann Coitada, queria estar no grupinho do Lula ou do Bolsonaro, qualquer grupo. Não tá em lugar nenhum. Rsrsrsrrs",Twitter for Android,0,0,
1328,helicleiton,2022-11-10 23:59:33+00:00,@Jonescorali @ThiagoResiste Você prefere colocar vendas nos olhos e não ver o que já está acontecendo antes mesmo d… https://t.co/ODx1M2A9J1,Twitter for Android,0,0,
1329,O Patriota™,2022-11-10 23:59:31+00:00,"Vai, Lula! Implanta tuas ideias, arrebenta as contas públicas, leva o dólar a R$ 8. Faz os liberais que te apoiaram… https://t.co/q7C7srrGae",Twitter for Android,2,0,
1330,IT'S ME HI I'M THE PROBLEM,2022-11-10 23:59:29+00:00,@djcibelle @fabyfalcao A passeata de aniversário do Lula passou bem na frente eles estavam lá de dentro balançando bandeira kkkkk,Twitter for Android,0,0,"João Pessoa, Brasil"
1331,Anny,2022-11-10 23:59:29+00:00,"@Arrowvisk @Valmir_Lorenzi @DamaresAlves Ele irá dizer que foi ótimo, pq será! Típico do Lula gastar o mundo e deix… https://t.co/xZE7fdvyHN",Twitter for Android,0,0,
1332,lucy,2022-11-10 23:59:28+00:00,@EuSouTrinity fodase só aceitem que a MAIORIA votou no lula bjssss,Twitter Web App,0,0,blackpink ❥
1333,Le com Lula 13ᶜʳᶠ☭,2022-11-10 23:59:28+00:00,gostosas com lula https://t.co/ht5aybZ7Gr,Twitter for iPhone,0,0,"Manaus, Brasil"
1334,PauloSergioCarvalho,2022-11-10 23:59:27+00:00,@patriotas_news Esse Lula tem uma cara de cachaceiro né? Cruzis! Isso irá governar o País?,Twitter Web App,0,0,"Brasil, Santa Catarina, Mafra"
